attack,auroc,aupr,recall_at_1pct_fpr,recall_at_5pct_fpr,recall_at_10pct_fpr,auroc_mean,auroc_ci_low,auroc_ci_high
bias,0.8656920968478758,0.9340756458641166,0.3768844221105528,0.6055276381909548,0.7261306532663316,0.8630319639746225,0.8303268528344196,0.893844548943194
drift,0.9194584031267449,0.965692315029524,0.6909547738693468,0.8065326633165829,0.8467336683417085,0.922122162916569,0.8956919551338103,0.9419282872300114
noise,0.9069400030455307,0.959348701398018,0.6381909547738693,0.7638190954773869,0.8190954773869347,0.9063054271087246,0.8819805636025987,0.9268288593881011
coordinated,0.8688899040657835,0.9326714271397805,0.32160804020100503,0.5703517587939698,0.7085427135678392,0.8671797035747164,0.8376299584144035,0.8980807096314211
intermittent,0.6661717679305619,0.8247533732274452,0.19095477386934673,0.3065326633165829,0.3768844221105528,0.6648090283808069,0.6260643713519539,0.7109928989354286
