timestamp,thrust,z,torque_x,torque_y,torque_z,roll,pitch,yaw,p,q,r,vx,vy,vz,mass,inertia_xx,inertia_yy,inertia_zz,trajectory_id
0.0,1.3470707300687943,0.0,0.0177263150292325,-0.0086602827536505,0.0086531953216689,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.068,6.86e-05,9.2e-05,0.0001366,0.0
0.01,0.5173189640045166,-9.02847671508789,-0.002781330142170191,0.00030841820989735425,0.001067509176209569,-0.019441919401288033,0.01651250384747982,-0.005344525445252657,2.6972548961639404,-1.570541262626648,1.3876807689666748,0.0,0.0,-3.673672676086426,0.068,6.86e-05,9.2e-05,0.0001366,0.0
0.02,1.1749972105026245,5.714590072631836,2.6986299417330883e-05,-3.97145186070702e-06,2.711692468437832e-05,-0.0240629930049181,0.01258604135364294,-0.012106172740459442,0.18053816258907318,-0.1098310798406601,0.11332342028617859,0.0,0.0,5.754106521606445,0.068,6.86e-05,9.2e-05,0.0001366,0.0
0.03,1.3148024082183838,1.2958678007125854,-2.3039385268930346e-05,-3.596147053031018e-06,1.4153566553432029e-05,0.04369166120886803,-0.022916821762919426,0.021158259361982346,0.16733507812023163,-0.08014130592346191,0.0739445611834526,0.0,0.0,0.10207699984312057,0.068,6.86e-05,9.2e-05,0.0001366,0.0
0.04,1.2860263586044312,1.306329607963562,-1.2497653187892865e-06,-3.3472815630375408e-06,1.3789860531687737e-05,0.048337746411561966,-0.025176970288157463,0.02337174490094185,0.1405743956565857,-0.07228245586156845,0.06998614221811295,0.0,0.0,0.07252072542905807,0.068,6.86e-05,9.2e-05,0.0001366,0.0
0.05,1.2931879758834839,0.6675299406051636,-3.849730092042591e-06,-3.2356624615204055e-06,1.2982956832274795e-05,0.054080937057733536,-0.028199290856719017,0.026193294674158096,0.1376417577266693,-0.06953713297843933,0.06684806197881699,0.0,0.0,-0.4561483860015869,0.068,6.86e-05,9.2e-05,0.0001366,0.0
0.06,1.291957974433899,0.502801775932312,-2.5435883799218573e-06,-3.1909100925986422e-06,1.2831335880036931e-05,0.055512841790914536,-0.02893957681953907,0.026888031512498856,0.13492195308208466,-0.0684095025062561,0.06598146259784698,0.0,0.0,-0.5755326747894287,0.068,6.86e-05,9.2e-05,0.0001366,0.0
0.07,1.2923932075500488,0.4130438566207886,-2.5701947379275225e-06,-3.1730930913909106e-06,1.2736395547108259e-05,0.05626561865210533,-0.029334159567952156,0.02725597470998764,0.13421864807605743,-0.06798019260168076,0.06556037813425064,0.0,0.0,-0.6474730968475342,0.068,6.86e-05,9.2e-05,0.0001366,0.0
0.08,1.2923681735992432,0.38011157512664795,-2.456905804137932e-06,-3.165582711517345e-06,1.2704673281405121e-05,0.056540120393037796,-0.02947724424302578,0.0273895263671875,0.1338375359773636,-0.0677957758307457,0.06540144979953766,0.0,0.0,-0.6736973524093628,0.068,6.86e-05,9.2e-05,0.0001366,0.0
0.09,1.292405128479004,0.36494624614715576,-2.4369933271373156e-06,-3.1623844733985607e-06,1.2689509276242461e-05,0.05666587874293327,-0.029543055221438408,0.02745082601904869,0.13369572162628174,-0.06771861016750336,0.06533022969961166,0.0,0.0,-0.68625807762146,0.068,6.86e-05,9.2e-05,0.0001366,0.0
